,ensembl_gene_id,external_gene_id,con1_ExpCounts,con2_ExpCounts,mic1_ExpCounts,mic2_ExpCounts,mic3_ExpCounts
6204,ENSRNOG00000016225,Fgd3,0.9698197176,0.9957229428,3.2283365153,2.3986692983,2.6236525878
6205,ENSRNOG00000016226,Rpp40,2.1802499608,1.8121599645,4.6174472596,4.4691352751,4.9080991812
6206,ENSRNOG00000016227,Glrx3,5.059962608,5.1052896823,7.09351858,7.1926014629,7.3613458323
6207,ENSRNOG00000016229,Bicral,3.4551616081,3.2360819566,3.7987809029,3.848147457,3.3986118913
6208,ENSRNOG00000016231,Polr2d,2.8290469574,3.3421535269,4.0526193307,4.3971515909,4.5314593235
6209,ENSRNOG00000016234,Ciapin1,4.0179106582,4.5728625412,5.4793173836,5.3351525695,5.61043625
6210,ENSRNOG00000016239,Zadh2,5.2045557252,5.1898025561,4.9149283707,4.754592481,5.0313747539
6211,ENSRNOG00000016242,Fzd1,5.0210401298,5.1250715896,3.3389976084,3.5855608146,2.9305532064
6212,ENSRNOG00000016244,Mical2,4.1562266622,4.0609819398,5.5849704875,5.5848943609,5.2253912953
6213,ENSRNOG00000016246,Tshz1,4.3138900863,4.0883369059,4.216202318,4.3785956946,3.8602597613
6214,ENSRNOG00000016248,Sox18,1.6200592611,1.1069020893,2.6458705128,2.2156360813,2.5851446645
6215,ENSRNOG00000016249,Cep85,3.8417932896,3.6389440127,4.9326840625,5.0489063778,4.6986057347
6216,ENSRNOG00000016250,Ammecr1l,6.5024947363,6.5365479019,6.423543347,6.4105374774,6.1672481281
6217,ENSRNOG00000016251,Dnaja2,5.4677188491,5.7863310264,7.0426726566,7.078441828,7.0572759079
6218,ENSRNOG00000016252,Mblac2,3.3738009228,3.081311543,3.433481516,3.6693712499,3.3874656723
6219,ENSRNOG00000016254,Sema4c,1.6200592611,1.396744637,2.8139422828,2.7653316908,2.5253841857
6220,ENSRNOG00000016256,Myo9b,5.6708731855,5.7687482505,6.6169859498,6.7018850906,6.2762317668
6221,ENSRNOG00000016257,Cotl1,3.7773607539,3.7714223329,6.286282727,5.9913072572,6.5887824931
6222,ENSRNOG00000016258,Zfp516,1.7727471134,1.9967205296,3.3566431659,3.2870349144,2.6977156518
6223,ENSRNOG00000016260,Polr3g,2.7758245125,2.7962318877,5.4690926465,5.4492105039,5.544202223
6224,ENSRNOG00000016262,Dnase2b,-0.1060851049,0.8752551453,4.0526193307,3.1478708612,4.6804546335
6225,ENSRNOG00000016265,Acsl5,7.7360263708,7.8180319515,7.2811339217,7.2669335681,7.2891706376
6226,ENSRNOG00000016266,Mphosph10,3.8818045324,4.1609936973,4.7677215634,4.9177061877,4.9313106657
6227,ENSRNOG00000016267,Chst15,2.5619307142,2.4405911327,2.8956368237,2.5165076603,2.6425278446
6228,ENSRNOG00000016269,Rpl7l1,4.1281891328,4.6620430738,5.4426723099,5.4756423497,5.3852185634
6229,ENSRNOG00000016271,Itm2b,9.2309388528,9.1518196729,9.4578103038,9.128338266,9.5153202933
6230,ENSRNOG00000016272,Edf1,5.39015598,5.3733559554,6.1486987968,6.2064848226,6.5430295907
6231,ENSRNOG00000016273,Fam136a,4.2173871492,4.0747242566,5.3900703593,5.5521508801,5.477463693
6232,ENSRNOG00000016275,Ttr,12.4155415019,12.4617549379,9.8370626707,9.5265123998,9.6071379229
6233,ENSRNOG00000016279,Zfp865,2.0368080485,1.9675538319,1.5029844627,1.9058469272,1.6965280199
6234,ENSRNOG00000016280,Btrc,3.4662908895,2.9972190644,4.703669371,4.9047960414,4.566473757
6235,ENSRNOG00000016281,Col4a1,6.3545554598,6.3941036378,8.339498787,8.2702092812,8.144299706
6236,ENSRNOG00000016286,Iyd,6.460948758,6.2947260546,5.2413032198,4.7641547344,5.1012637135
6237,ENSRNOG00000016288,Tcea2,-0.9995623168,-2.0778818289,0.7235961884,0.0766457446,1.418489905
6238,ENSRNOG00000016291,Marveld3,1.0909736433,0.9957229428,1.983682355,1.8708699648,1.8984717924
6239,ENSRNOG00000016294,Cd4,3.8392013092,3.6934036292,4.0030602764,3.9375717649,4.2094479672
6240,ENSRNOG00000016298,Lysmd3,4.6607062838,4.1609936973,4.9649956425,4.9134156292,4.5909737911
6241,ENSRNOG00000016299,Klf4,1.3064610483,0.8752551453,4.0362880776,3.8327801657,3.8521744356
6242,ENSRNOG00000016303,Zfp236,3.2877029832,2.8924841676,4.0909180581,4.294253394,3.6524862721
