"geneNames","geneIDs.bg_rn4_filt.","feature","id","fc","pval","qval"
"Zbed4","Zbed4","transcript","15630",0.266461489028609,0.00714620965969015,0.768686649185781
"Hsd17b14","Hsd17b14","transcript","858",0.0083473915005117,0.00715946900345421,0.768686649185781
"Rnf4","Rnf4","transcript","5863",0.0268282671079521,0.00726333791402467,0.768686649185781
"Rpsa","Rpsa","transcript","16850",159.266917206778,0.00733181693662899,0.768686649185781
"Pdcl","Pdcl","transcript","10484",8.0010834099767,0.00758994472814978,0.768686649185781
"Fam216a","Fam216a","transcript","4779",97.2570574492002,0.00764093028863444,0.768686649185781
"Taf11","Taf11","transcript","9897",3.43414032235851,0.0077980314859103,0.768686649185781
"Gmpr2","Gmpr2","transcript","6305",0.0741224236435035,0.0078271413320854,0.768686649185781
"Dld","Dld","transcript","14167",15.1692378524619,0.00788757588555422,0.768686649185781
"Atp11a","Atp11a","transcript","7074",0.00434496463219602,0.00796942086323393,0.768686649185781
"Msl3","Msl3","transcript","17847",64.7129660758806,0.00821026171274242,0.768686649185781
"Ubqln2","Ubqln2","transcript","17806",0.00798610523930586,0.00821678841028284,0.768686649185781
"Ncor2","Ncor2","transcript","4726",0.000277743223594095,0.00833584620842154,0.768686649185781
"Ppil3","Ppil3","transcript","17189",419.660871062075,0.00840017990548125,0.768686649185781
"Plcb2","Plcb2","transcript","11094",123.950533759064,0.00849311325718327,0.768686649185781
"Mgll","Mgll","transcript","12360",0.0770922601238494,0.00881495253733189,0.768686649185781
"Zfp746","Zfp746","transcript","12098",0.0432312367912202,0.00886357671752669,0.768686649185781
"Cxcl9","Cxcl9","transcript","5610",1572.90944968271,0.00893149019402273,0.768686649185781
"Aldh3b1","Aldh3b1","transcript","1867",68.2524512231182,0.00902503432853474,0.768686649185781
"Serping1","Serping1","transcript","10678",0.000187758836311842,0.00904842380270465,0.768686649185781
"Paip2","Paip2","transcript","7734",35.750448940385,0.00942894822495566,0.768686649185781
"Zmiz1","Zmiz1","transcript","6601",0.00475833871014759,0.00954792299031104,0.768686649185781
"Vps4b","Vps4b","transcript","4926",0.115741824077473,0.00977887608466377,0.768686649185781
"Qsox2","Qsox2","transcript","10290",0.109766974303047,0.00984700380319181,0.768686649185781
"Polr3g","Polr3g","transcript","8540",10.3744887422407,0.0099862081906581,0.768686649185781
"Pcna","Pcna","transcript","11277",828.304919534045,0.0100665904268211,0.768686649185781
"Lrp10","Lrp10","transcript","6254",0.0496432585671456,0.0103253503253983,0.768686649185781
"C1rl","C1rl","transcript","12593",0.00180716349775824,0.0103443438525199,0.768686649185781
"Slc39a7","Slc39a7","transcript","9851",107058.189575435,0.0103785366080344,0.768686649185781
"Csnk1a1","Csnk1a1","transcript","7915",0.0842230812315568,0.0103907842447646,0.768686649185781
"Actr5","Actr5","transcript","11501",0.206648811814158,0.0105641898886446,0.768686649185781
"Zfp105","Zfp105","transcript","16871",11.1979531983492,0.0106365855351022,0.768686649185781
"Ces1e","Ces1e","transcript","8128",0.0196896540130231,0.0107350100603409,0.768686649185781
"Uimc1","Uimc1","transcript","7217",6.02914860854355,0.0108263904263941,0.768686649185781
"Hmgn2","Hmgn2","transcript","13646",17.8615646784304,0.0109225725113653,0.768686649185781
"Nin","Nin","transcript","14280",0.0985445639631029,0.0109873103778959,0.768686649185781
"Opa3","Opa3","transcript","475",0.154187038925828,0.0110258833447545,0.768686649185781
"Iffo1","Iffo1","transcript","12627",0.0729896122054548,0.0110313862463218,0.768686649185781
"Brd9","Brd9","transcript","129",0.305921794915861,0.011175823547487,0.768686649185781
"Atp6v1a","Atp6v1a","transcript","4172",12.5733742831478,0.0112212041386824,0.768686649185781
"Myrf","Myrf","transcript","2069",0.00316726144613123,0.0112415860468676,0.768686649185781
"Zfp35","Zfp35","transcript","7675",0.0565435424454907,0.0113448903238841,0.768686649185781
"Rpusd4","Rpusd4","transcript","16060",13.49959595292,0.011513182250835,0.768686649185781
"Nme2","Nme2","transcript","3474",228.890786380405,0.0115852350314851,0.768686649185781
"Gsta5","Gsta5","transcript","16560",413.760259605382,0.0117449054784419,0.768686649185781
"Ptpn23","Ptpn23","transcript","16781",0.00114786735073828,0.0118285483158567,0.768686649185781
"Cc2d1a","Cc2d1a","transcript","8212",0.0773929935245436,0.011850524413005,0.768686649185781
"Met","Met","transcript","11902",0.0140488925363451,0.0118706768134416,0.768686649185781
"Bcl3","Bcl3","transcript","504",0.0375866888681568,0.0118815063822415,0.768686649185781
"Pmepa1","Pmepa1","transcript","11639",0.00141347779427542,0.0119272385093745,0.768686649185781
"Fbxo9","Fbxo9","transcript","16557",0.15174699519406,0.0120476161353773,0.768686649185781
"Slc25a4","Slc25a4","transcript","6872",1650.59444428294,0.012127299761451,0.768686649185781
